Similitud de la palabra "abogado"

Raw_Frequency              | Relative_Frequency         | Sublineal                  | IDF_BM25                   | 

abogado             : 1.000| abogado             : 1.000| abogado             : 1.000| abogado             : 1.000| 
pancer              : 0.734| pancer              : 0.736| pancer              : 0.734| pancer              : 0.734| 
fbi                 : 0.480| fbi                 : 0.476| fbi                 : 0.462| fbi                 : 0.465| 
kathy               : 0.407| kathy               : 0.403| kathy               : 0.406| kathy               : 0.403| 
electricistas       : 0.384| electricistas       : 0.391| electricistas       : 0.392| electricistas       : 0.392| 
kissel              : 0.383| kissel              : 0.378| kissel              : 0.381| kissel              : 0.378| 
documento           : 0.368| documento           : 0.369| documento           : 0.366| documento           : 0.362| 
nulificar           : 0.355| nulificar           : 0.349| nulificar           : 0.364| nulificar           : 0.349| 
houston             : 0.350| houston             : 0.344| sme                 : 0.348| sme                 : 0.343| 
sme                 : 0.333| sme                 : 0.344| houston             : 0.333| houston             : 0.336| 
michael             : 0.322| michael             : 0.326| michael             : 0.319| asumido             : 0.320| 
defensor            : 0.317| balance             : 0.320| asumido             : 0.315| balance             : 0.318| 
asumido             : 0.311| asumido             : 0.318| balance             : 0.315| defensor            : 0.310| 
balance             : 0.305| defensor            : 0.313| defensor            : 0.314| michael             : 0.302| 
evidencia           : 0.301| evidencia           : 0.311| evidencia           : 0.298| evidencia           : 0.298| 
obtener             : 0.286| obtener             : 0.282| obtener             : 0.275| obtener             : 0.284| 
recuento            : 0.259| recuento            : 0.262| recuento            : 0.258| recuento            : 0.262| 
loudes              : 0.257| investigación       : 0.259| loudes              : 0.257| investigación       : 0.254| 
investigación       : 0.256| loudes              : 0.256| investigación       : 0.251| loudes              : 0.253| 
baird               : 0.250| baird               : 0.245| clausurado          : 0.249| baird               : 0.246| 
belfer              : 0.245| belfer              : 0.240| baird               : 0.247| belfer              : 0.245| 
clausurado          : 0.242| clausurado          : 0.236| belfer              : 0.245| según               : 0.243| 
según               : 0.240| según               : 0.235| según               : 0.243| clausurado          : 0.241| 
credencial          : 0.238| privatización       : 0.234| privatización       : 0.234| privatización       : 0.233| 
privatización       : 0.235| común               : 0.230| credencial          : 0.233| equipo              : 0.226| 
equipo              : 0.225| equipo              : 0.229| común               : 0.231| credencial          : 0.225| 
emitido             : 0.224| credencial          : 0.225| equipo              : 0.231| sindicato           : 0.224| 
sector              : 0.222| sindicato           : 0.218| sindicato           : 0.229| común               : 0.224| 
común               : 0.221| emitido             : 0.215| sector              : 0.223| sector              : 0.221| 
sindicato           : 0.218| sector              : 0.209| anomalía            : 0.211| descubrir           : 0.214| 
anomalía            : 0.215| comicial            : 0.207| llegué              : 0.207| emitido             : 0.213| 
comicial            : 0.207| llegué              : 0.203| conseguir           : 0.205| llegué              : 0.213| 
llegué              : 0.206| interrogar          : 0.199| descubrir           : 0.204| conseguir           : 0.206| 
descubrir           : 0.202| alzaga              : 0.198| comicial            : 0.202| comicial            : 0.202| 
