Similitud de la palabra "lingote"

Raw_Frequency              | Relative_Frequency         | Sublineal                  | IDF_BM25                   | 

lingote             : 1.000| lingote             : 1.000| lingote             : 1.000| lingote             : 1.000| 
robar               : 0.892| robar               : 0.890| robar               : 0.891| robar               : 0.891| 
rebelión            : 0.687| rebelión            : 0.684| rebelión            : 0.682| rebelión            : 0.687| 
plata               : 0.612| chihuahua           : 0.613| chihuahua           : 0.614| chihuahua           : 0.608| 
chihuahua           : 0.612| plata               : 0.610| plata               : 0.610| plata               : 0.607| 
wells               : 0.522| notariado           : 0.518| notariado           : 0.517| villa               : 0.523| 
notariado           : 0.519| wells               : 0.514| villa               : 0.515| notariado           : 0.523| 
villa               : 0.513| villa               : 0.512| wells               : 0.514| wells               : 0.510| 
tren                : 0.510| tren                : 0.506| tren                : 0.506| tren                : 0.506| 
británico           : 0.495| británico           : 0.495| británico           : 0.493| británico           : 0.497| 
fargo               : 0.478| fargo               : 0.488| fargo               : 0.480| fargo               : 0.488| 
enlatado            : 0.474| enlatado            : 0.479| enlatado            : 0.471| enlatado            : 0.481| 
embajada            : 0.461| contacto            : 0.458| llegué              : 0.461| señal               : 0.462| 
contacto            : 0.461| embajada            : 0.457| embajada            : 0.461| embajada            : 0.462| 
detalla             : 0.458| llegué              : 0.457| detalla             : 0.458| contacto            : 0.459| 
señal               : 0.457| detalla             : 0.456| contacto            : 0.458| llegué              : 0.457| 
llegué              : 0.453| señal               : 0.456| señal               : 0.455| detalla             : 0.455| 
sudamericano        : 0.451| sudamericano        : 0.454| sudamericano        : 0.449| sudamericano        : 0.455| 
agricultura         : 0.419| ganadería           : 0.423| ganadería           : 0.419| agricultura         : 0.422| 
ganadería           : 0.419| agricultura         : 0.422| agricultura         : 0.419| ganadería           : 0.422| 
concertó            : 0.414| concertó            : 0.418| cambista            : 0.416| digno               : 0.415| 
digno               : 0.412| cambista            : 0.411| digno               : 0.412| concertó            : 0.412| 
fotos               : 0.410| anteriormente       : 0.408| anteriormente       : 0.410| fotos               : 0.411| 
cambista            : 0.407| fotos               : 0.408| concertó            : 0.410| cambista            : 0.409| 
anteriormente       : 0.404| digno               : 0.406| estabilizó          : 0.403| anteriormente       : 0.407| 
reflejan            : 0.400| reflejan            : 0.398| fotos               : 0.402| estabilizó          : 0.404| 
estabilizó          : 0.399| estabilizó          : 0.393| reflejan            : 0.391| reflejan            : 0.402| 
derrotado           : 0.384| empleado            : 0.387| empleado            : 0.385| competer            : 0.389| 
empleado            : 0.380| competer            : 0.386| competer            : 0.383| empleado            : 0.384| 
competer            : 0.380| derrotado           : 0.381| sct                 : 0.381| pactó               : 0.382| 
carta               : 0.380| pactó               : 0.378| pactó               : 0.380| derrotado           : 0.380| 
sct                 : 0.377| carta               : 0.378| carta               : 0.378| sct                 : 0.378| 
pactó               : 0.377| sct                 : 0.377| derrotado           : 0.375| emperador           : 0.370| 
emperador           : 0.369| emperador           : 0.367| emperador           : 0.369| carta               : 0.368| 
barra               : 0.366| barra               : 0.363| barra               : 0.364| vengo               : 0.359| 
olmedo              : 0.354| vengo               : 0.362| vengo               : 0.357| olmedo              : 0.359| 
vengo               : 0.352| olmedo              : 0.354| olmedo              : 0.355| barra               : 0.357| 
heroísmo            : 0.351| hallar              : 0.353| hallar              : 0.351| hallar              : 0.351| 
hallar              : 0.349| heroísmo            : 0.346| phillips            : 0.344| carne               : 0.349| 
según               : 0.345| donar               : 0.345| según               : 0.343| phillips            : 0.348| 
corporativo         : 0.343| satélites           : 0.344| heroísmo            : 0.342| satélites           : 0.346| 
donar               : 0.343| votar               : 0.343| votar               : 0.340| heroísmo            : 0.344| 
phillips            : 0.341| phillips            : 0.341| donar               : 0.340| según               : 0.343| 
carne               : 0.338| carne               : 0.340| acceder             : 0.338| donar               : 0.340| 
