Similitud de la palabra "maquinaria"

Raw_Frequency              | Relative_Frequency         | Sublineal                  | IDF_BM25                   | 

maquinaria          : 1.000| maquinaria          : 1.000| maquinaria          : 1.000| maquinaria          : 1.000| 
invencible          : 0.728| invencible          : 0.729| invencible          : 0.729| invencible          : 0.728| 
antiestadunidense   : 0.559| antiestadunidense   : 0.561| antiestadunidense   : 0.556| antiestadunidense   : 0.561| 
aversión            : 0.521| aversión            : 0.525| aversión            : 0.518| aversión            : 0.524| 
profesional         : 0.518| profesional         : 0.515| profesional         : 0.511| profesional         : 0.520| 
inequitativo        : 0.504| inequitativo        : 0.510| inequitativo        : 0.501| inequitativo        : 0.504| 
disponible          : 0.487| disponible          : 0.488| disponible          : 0.483| geografía           : 0.484| 
geografía           : 0.476| geografía           : 0.481| geografía           : 0.474| disponible          : 0.481| 
precisa             : 0.469| precisa             : 0.466| precisa             : 0.470| precisa             : 0.466| 
reibar              : 0.463| reibar              : 0.460| reibar              : 0.465| reibar              : 0.465| 
socioeconómico      : 0.450| beca                : 0.453| socioeconómico      : 0.446| socioeconómico      : 0.448| 
beca                : 0.444| socioeconómico      : 0.451| beca                : 0.445| beca                : 0.442| 
ion                 : 0.444| ion                 : 0.439| ion                 : 0.438| ion                 : 0.437| 
abogados            : 0.432| abogados            : 0.428| enterar             : 0.425| enterar             : 0.429| 
enterar             : 0.426| enterar             : 0.423| abogados            : 0.424| concertacesión      : 0.428| 
frustración         : 0.421| conscripto          : 0.418| concertacesión      : 0.421| abogados            : 0.425| 
conscripto          : 0.419| preparación         : 0.417| conscripto          : 0.418| frustración         : 0.420| 
preparación         : 0.417| asignar             : 0.417| frustración         : 0.414| minucia             : 0.418| 
asignar             : 0.414| concertacesión      : 0.415| minucia             : 0.413| preparación         : 0.418| 
concertacesión      : 0.413| warren              : 0.414| preparación         : 0.412| conscripto          : 0.416| 
semianalfabetismo   : 0.411| minucia             : 0.413| globalidad          : 0.412| globalidad          : 0.416| 
warren              : 0.408| frustración         : 0.413| recabado            : 0.410| asignar             : 0.412| 
deben               : 0.408| deben               : 0.411| warren              : 0.408| semianalfabetismo   : 0.411| 
minucia             : 0.407| semianalfabetismo   : 0.409| asignar             : 0.406| warren              : 0.408| 
bandera             : 0.406| globalidad          : 0.408| semianalfabetismo   : 0.405| bandera             : 0.406| 
globalidad          : 0.406| bandera             : 0.408| bandera             : 0.405| deben               : 0.405| 
recabado            : 0.404| recabado            : 0.407| deben               : 0.400| recabado            : 0.405| 
referéndum          : 0.396| perpetrada          : 0.395| referéndum          : 0.397| perpetrada          : 0.396| 
insuficientes       : 0.388| buffett             : 0.390| perpetrada          : 0.397| referéndum          : 0.392| 
perpetrada          : 0.386| referéndum          : 0.388| insuficientes       : 0.385| insuficientes       : 0.387| 
cicatriz            : 0.381| insuficientes       : 0.382| infraestructura     : 0.379| cicatriz            : 0.379| 
buffett             : 0.376| cicatriz            : 0.381| buffett             : 0.379| buffett             : 0.377| 
infraestructura     : 0.374| infraestructura     : 0.379| cicatriz            : 0.378| infraestructura     : 0.375| 
compras             : 0.373| compras             : 0.376| inevitabilidad      : 0.374| inevitabilidad      : 0.371| 
mínimos             : 0.370| equitativo          : 0.374| mínimos             : 0.370| mínimos             : 0.371| 
programas           : 0.367| factura             : 0.370| programas           : 0.370| pío                 : 0.370| 
factura             : 0.367| inevitabilidad      : 0.368| compras             : 0.368| programas           : 0.368| 
equitativo          : 0.365| explotación         : 0.368| pío                 : 0.367| compras             : 0.366| 
inevitabilidad      : 0.364| programas           : 0.368| equitativo          : 0.366| equitativo          : 0.363| 
explotación         : 0.363| mínimos             : 0.367| napm                : 0.362| priísmo             : 0.362| 
napm                : 0.363| pío                 : 0.366| priísmo             : 0.358| coyuntura           : 0.360| 
priísmo             : 0.362| priísmo             : 0.363| coyuntura           : 0.356| napm                : 0.360| 
coyuntura           : 0.362| napm                : 0.361| explotación         : 0.356| explotación         : 0.359| 
pío                 : 0.359| coyuntura           : 0.360| consultivo          : 0.353| factura             : 0.357| 
beteta              : 0.356| consultivo          : 0.354| beteta              : 0.353| seudoestudiante     : 0.351| 
consultivo          : 0.355| seudoestudiante     : 0.348| factura             : 0.352| consultivo          : 0.349| 
lanzado             : 0.350| agrónomo            : 0.348| seudoestudiante     : 0.347| beteta              : 0.348| 
agrónomo            : 0.344| pormenorizado       : 0.348| agrónomo            : 0.346| agrónomo            : 0.347| 
pormenorizado       : 0.341| beteta              : 0.342| estómago            : 0.345| atribuida           : 0.345| 
seudoestudiante     : 0.341| desigual            : 0.341| vacío               : 0.343| lanzado             : 0.344| 
clausurado          : 0.339| inequitativa        : 0.341| clausurado          : 0.338| vacío               : 0.341| 
desigual            : 0.339| clausurado          : 0.340| ciberespacio        : 0.337| clausurado          : 0.339| 
inequitativa        : 0.338| ciberespacio        : 0.340| corrige             : 0.335| pormenorizado       : 0.337| 
vacío               : 0.338| vacío               : 0.339| afirmación          : 0.335| afirmación          : 0.337| 
afirmación          : 0.337| atribuida           : 0.337| lanzado             : 0.335| estómago            : 0.333| 
atribuida           : 0.334| afirmación          : 0.335| atribuida           : 0.335| insistencia         : 0.332| 
corrige             : 0.332| financiaron         : 0.334| jamie               : 0.330| corrige             : 0.330| 
financiaron         : 0.332| lanzado             : 0.334| propalando          : 0.330| desigual            : 0.329| 
estómago            : 0.332| corrige             : 0.333| pormenorizado       : 0.329| propalando          : 0.329| 
ciberespacio        : 0.330| estómago            : 0.331| errores             : 0.327| inequitativa        : 0.328| 
insistencia         : 0.328| propalando          : 0.331| insistencia         : 0.327| ciberespacio        : 0.326| 
exportadora         : 0.327| insistencia         : 0.328| desigual            : 0.326| jamie               : 0.325| 
bancada             : 0.327| inequidad           : 0.326| exportadora         : 0.325| contundente         : 0.325| 
contundente         : 0.326| canalicen           : 0.324| inequitativa        : 0.323| indeciso            : 0.324| 
jamie               : 0.325| errores             : 0.322| incuria             : 0.322| financiaron         : 0.322| 
canalicen           : 0.325| contundente         : 0.322| contundente         : 0.321| errores             : 0.321| 
errores             : 0.323| incuria             : 0.322| indeciso            : 0.319| bancada             : 0.321| 
inequidad           : 0.321| compitan            : 0.321| financiaron         : 0.317| exportadora         : 0.320| 
propalando          : 0.321| indeciso            : 0.319| salarios            : 0.317| incuria             : 0.318| 
incuria             : 0.319| jamie               : 0.318| bancada             : 0.316| salarios            : 0.318| 
indeciso            : 0.318| exportadora         : 0.317| canalicen           : 0.316| compitan            : 0.316| 
salarios            : 0.316| salarios            : 0.316| compitan            : 0.316| mausoleo            : 0.313| 
disgustado          : 0.315| promotor            : 0.312| promotor            : 0.313| canalicen           : 0.313| 
promotor            : 0.315| bancada             : 0.311| inequidad           : 0.308| promotor            : 0.312| 
alemán              : 0.313| mausoleo            : 0.311| mausoleo            : 0.306| inequidad           : 0.311| 
mausoleo            : 0.313| disgustado          : 0.308| disgustado          : 0.304| disgustado          : 0.307| 
compitan            : 0.312| auscultación        : 0.306| unilateralmente     : 0.304| complican           : 0.306| 
gomes               : 0.308| emplear             : 0.306| auscultación        : 0.303| alemán              : 0.305| 
rehabilitar         : 0.305| complican           : 0.305| emplear             : 0.303| emplear             : 0.304| 
salvación           : 0.304| rehabilitar         : 0.304| alemán              : 0.303| unilateralmente     : 0.304| 
dudar               : 0.303| dudar               : 0.303| dudar               : 0.301| dudar               : 0.302| 
complican           : 0.303| alemán              : 0.301| rehabilitar         : 0.301| rehabilitar         : 0.301| 
unilateralmente     : 0.303| unilateralmente     : 0.301| gomes               : 0.300| auscultación        : 0.301| 
emplear             : 0.303| zaragoza            : 0.300| complican           : 0.300| zaragoza            : 0.299| 
céntrico            : 0.301| céntrico            : 0.299| infinitamente       : 0.295| gomes               : 0.296| 
auscultación        : 0.301| ilustre             : 0.298| impulsado           : 0.293| céntrico            : 0.295| 
