Similitud de la palabra "lingote"

Raw_Frequency              | Relative_Frequency         | Sublineal                  | IDF_BM25                   | 

lingote             : 1.000| lingote             : 1.000| lingote             : 1.000| lingote             : 1.000| 
robar               : 0.894| robar               : 0.890| robar               : 0.891| robar               : 0.890| 
chihuahua           : 0.535| chihuahua           : 0.536| plata               : 0.531| plata               : 0.536| 
plata               : 0.535| plata               : 0.533| chihuahua           : 0.530| chihuahua           : 0.531| 
rebelión            : 0.515| rebelión            : 0.529| rebelión            : 0.524| rebelión            : 0.518| 
postre              : 0.502| postre              : 0.499| postre              : 0.497| postre              : 0.498| 
villa               : 0.485| villa               : 0.497| villa               : 0.484| villa               : 0.484| 
tren                : 0.453| tren                : 0.452| tren                : 0.456| concertó            : 0.448| 
concertó            : 0.451| concertó            : 0.442| concertó            : 0.450| tren                : 0.445| 
fargo               : 0.451| fargo               : 0.442| fargo               : 0.446| fargo               : 0.443| 
británico           : 0.434| británico           : 0.429| británico           : 0.432| británico           : 0.429| 
encentra            : 0.421| encentra            : 0.415| encentra            : 0.416| encentra            : 0.410| 
wells               : 0.402| wells               : 0.404| wells               : 0.403| afinar              : 0.401| 
afinar              : 0.395| afinar              : 0.390| afinar              : 0.400| wells               : 0.399| 
embajada            : 0.394| embajada            : 0.388| embajada            : 0.394| embajada            : 0.383| 
devolver            : 0.386| devolver            : 0.377| sct                 : 0.385| sct                 : 0.381| 
sct                 : 0.374| sct                 : 0.375| devolver            : 0.383| anteriormente       : 0.373| 
anteriormente       : 0.367| carta               : 0.369| anteriormente       : 0.374| devolver            : 0.372| 
pactó               : 0.365| anteriormente       : 0.367| carta               : 0.372| detalla             : 0.364| 
carta               : 0.365| pactó               : 0.361| detalla             : 0.369| carta               : 0.363| 
agricultura         : 0.365| detalla             : 0.356| pactó               : 0.366| pactó               : 0.362| 
llegué              : 0.358| agricultura         : 0.356| agricultura         : 0.361| llegué              : 0.359| 
detalla             : 0.357| llegué              : 0.355| llegué              : 0.346| agricultura         : 0.354| 
competitivas        : 0.349| competitivas        : 0.350| postal              : 0.341| competitivas        : 0.349| 
apartado            : 0.338| enlatado            : 0.341| apartado            : 0.341| enlatado            : 0.343| 
postal              : 0.338| apartado            : 0.339| competitivas        : 0.341| pronóstico          : 0.337| 
enlatado            : 0.337| postal              : 0.339| enlatado            : 0.340| postal              : 0.336| 
comentarios         : 0.336| pronóstico          : 0.337| comentarios         : 0.340| apartado            : 0.336| 
fax                 : 0.336| comentarios         : 0.337| fax                 : 0.340| comentarios         : 0.335| 
pronóstico          : 0.334| fax                 : 0.337| pronóstico          : 0.339| fax                 : 0.335| 
barra               : 0.331| barra               : 0.329| señal               : 0.330| barra               : 0.332| 
estabilizó          : 0.330| señal               : 0.327| barra               : 0.329| señal               : 0.331| 
señal               : 0.324| estabilizó          : 0.326| fotos               : 0.326| estabilizó          : 0.328| 
donar               : 0.321| ofreció             : 0.322| donar               : 0.325| fotos               : 0.324| 
ofreció             : 0.321| emperador           : 0.320| napoleón            : 0.325| donar               : 0.323| 
fotos               : 0.318| fotos               : 0.320| ofreció             : 0.322| emperador           : 0.322| 
emperador           : 0.317| donar               : 0.316| estabilizó          : 0.322| ofreció             : 0.319| 
napoleón            : 0.316| napoleón            : 0.314| henry               : 0.321| competer            : 0.316| 
competer            : 0.314| henry               : 0.313| emperador           : 0.320| napoleón            : 0.308| 
henry               : 0.305| duval               : 0.309| duval               : 0.314| henry               : 0.307| 
duval               : 0.301| competer            : 0.304| competer            : 0.313| duval               : 0.301| 
heroísmo            : 0.295| acceder             : 0.302| acceder             : 0.301| inobjetable         : 0.301| 
acceder             : 0.294| inobjetable         : 0.295| inobjetable         : 0.301| heroísmo            : 0.298| 
notariado           : 0.293| paralelismo         : 0.294| inmigrante          : 0.297| paralelismo         : 0.295| 
