Similitud de la palabra "maquinaria"

Raw_Frequency              | Relative_Frequency         | Sublineal                  | IDF_BM25                   | 

maquinaria          : 1.000| maquinaria          : 1.000| maquinaria          : 1.000| maquinaria          : 1.000| 
invencible          : 0.705| invencible          : 0.709| invencible          : 0.713| invencible          : 0.711| 
semianalfabetismo   : 0.546| semianalfabetismo   : 0.545| semianalfabetismo   : 0.544| semianalfabetismo   : 0.550| 
profesional         : 0.531| frustración         : 0.538| frustración         : 0.537| profesional         : 0.534| 
frustración         : 0.529| profesional         : 0.533| profesional         : 0.534| frustración         : 0.531| 
aversión            : 0.526| aversión            : 0.532| aversión            : 0.528| aversión            : 0.528| 
socioeconómico      : 0.521| socioeconómico      : 0.522| socioeconómico      : 0.525| socioeconómico      : 0.520| 
minucia             : 0.504| minucia             : 0.501| minucia             : 0.505| minucia             : 0.501| 
inequitativo        : 0.489| geografía           : 0.496| inequitativo        : 0.492| geografía           : 0.490| 
geografía           : 0.481| inequitativo        : 0.488| warren              : 0.482| inequitativo        : 0.488| 
warren              : 0.476| warren              : 0.481| geografía           : 0.480| warren              : 0.481| 
insistencia         : 0.468| insistencia         : 0.457| insistencia         : 0.467| insistencia         : 0.464| 
abogados            : 0.452| abogados            : 0.447| priísmo             : 0.443| priísmo             : 0.444| 
priísmo             : 0.450| priísmo             : 0.446| abogados            : 0.442| ion                 : 0.442| 
ion                 : 0.448| ion                 : 0.441| ion                 : 0.442| abogados            : 0.439| 
reibar              : 0.433| reibar              : 0.432| precisa             : 0.432| precisa             : 0.436| 
precisa             : 0.430| precisa             : 0.432| reibar              : 0.431| reibar              : 0.431| 
céntrico            : 0.427| mínimos             : 0.424| mínimos             : 0.429| mínimos             : 0.426| 
mínimos             : 0.426| referéndum          : 0.420| céntrico            : 0.420| céntrico            : 0.418| 
ilustre             : 0.407| céntrico            : 0.412| referéndum          : 0.414| referéndum          : 0.412| 
referéndum          : 0.405| ilustre             : 0.411| conscripto          : 0.410| conscripto          : 0.404| 
conscripto          : 0.401| conscripto          : 0.403| emplear             : 0.405| emplear             : 0.401| 
globalidad          : 0.400| globalidad          : 0.402| seudoestudiante     : 0.397| ilustre             : 0.396| 
emplear             : 0.399| emplear             : 0.400| cicatriz            : 0.397| vacío               : 0.394| 
seudoestudiante     : 0.396| financiaron         : 0.397| ilustre             : 0.397| infraestructura     : 0.393| 
cicatriz            : 0.396| compras             : 0.397| compras             : 0.392| financiaron         : 0.393| 
compras             : 0.393| cicatriz            : 0.392| asignar             : 0.391| seudoestudiante     : 0.391| 
vacío               : 0.387| seudoestudiante     : 0.392| globalidad          : 0.391| asignar             : 0.391| 
infraestructura     : 0.386| asignar             : 0.389| financiaron         : 0.391| cicatriz            : 0.390| 
desigual            : 0.385| recabado            : 0.388| desigual            : 0.389| globalidad          : 0.390| 
financiaron         : 0.383| vacío               : 0.387| deben               : 0.388| recabado            : 0.387| 
asignar             : 0.381| deben               : 0.387| infraestructura     : 0.388| compras             : 0.387| 
recabado            : 0.381| infraestructura     : 0.386| vacío               : 0.385| deben               : 0.385| 
deben               : 0.379| napm                : 0.385| recabado            : 0.378| relaciones          : 0.380| 
relaciones          : 0.379| relaciones          : 0.380| relaciones          : 0.374| desigual            : 0.379| 
napm                : 0.377| desigual            : 0.374| coyuntura           : 0.374| inevitabilidad      : 0.374| 
inevitabilidad      : 0.376| inevitabilidad      : 0.373| napm                : 0.371| napm                : 0.374| 
coyuntura           : 0.373| coyuntura           : 0.368| riesgoso            : 0.367| coyuntura           : 0.370| 
contundente         : 0.370| infinitamente       : 0.367| infinitamente       : 0.365| riesgoso            : 0.364| 
riesgoso            : 0.368| contundente         : 0.363| buffett             : 0.364| insuficientes       : 0.363| 
compitan            : 0.366| pío                 : 0.361| inequidad           : 0.364| infinitamente       : 0.363| 
insuficientes       : 0.364| compitan            : 0.360| inevitabilidad      : 0.364| compitan            : 0.361| 
infinitamente       : 0.362| propalando          : 0.359| contundente         : 0.363| propalando          : 0.356| 
inequidad           : 0.359| insuficientes       : 0.359| insuficientes       : 0.361| incuria             : 0.355| 
explotación         : 0.357| buffett             : 0.358| compitan            : 0.361| contundente         : 0.355| 
pío                 : 0.357| riesgoso            : 0.357| clausurado          : 0.356| exportadora         : 0.355| 
propalando          : 0.356| pormenorizado       : 0.355| explotación         : 0.354| explotación         : 0.355| 
buffett             : 0.356| explotación         : 0.353| pío                 : 0.351| buffett             : 0.354| 
incuria             : 0.356| inequidad           : 0.349| afirmación          : 0.350| inequidad           : 0.353| 
exportadora         : 0.354| disgustado          : 0.349| pormenorizado       : 0.350| rehabilitar         : 0.353| 
clausurado          : 0.352| incuria             : 0.349| pasajero            : 0.348| pío                 : 0.353| 
afirmación          : 0.350| afirmación          : 0.349| propalando          : 0.348| pasajero            : 0.352| 
pasajero            : 0.344| clausurado          : 0.346| rehabilitar         : 0.347| afirmación          : 0.351| 
disgustado          : 0.344| rehabilitar         : 0.343| exportadora         : 0.346| disgustado          : 0.348| 
salarios            : 0.342| exportadora         : 0.341| salarios            : 0.345| salarios            : 0.344| 
rehabilitar         : 0.342| soberanía           : 0.341| disgustado          : 0.344| clausurado          : 0.343| 
pormenorizado       : 0.341| pasajero            : 0.341| incuria             : 0.344| programas           : 0.340| 
soberanía           : 0.340| salarios            : 0.340| programas           : 0.338| soberanía           : 0.336| 
programas           : 0.336| programas           : 0.339| ciberespacio        : 0.337| pormenorizado       : 0.335| 
solidarizó          : 0.336| solidarizó          : 0.337| solidarizó          : 0.332| salvación           : 0.335| 
salvación           : 0.332| auscultación        : 0.332| gira                : 0.332| gira                : 0.335| 
ciberespacio        : 0.331| ciberespacio        : 0.330| soberanía           : 0.330| solidarizó          : 0.335| 
gira                : 0.327| gira                : 0.329| jamie               : 0.324| ciberespacio        : 0.331| 
auscultación        : 0.326| pensión             : 0.326| mausoleo            : 0.323| auscultación        : 0.324| 
canalicen           : 0.324| salvación           : 0.323| auscultación        : 0.321| canalicen           : 0.323| 
zapatista           : 0.322| jamie               : 0.322| destinarán          : 0.320| jamie               : 0.323| 
asignación          : 0.321| asignación          : 0.322| asignación          : 0.320| mausoleo            : 0.322| 
mausoleo            : 0.320| destinarán          : 0.321| canalicen           : 0.320| destinarán          : 0.321| 
pensión             : 0.319| zapatista           : 0.321| agrónomo            : 0.319| zapatista           : 0.320| 
jamie               : 0.319| mausoleo            : 0.319| zapatista           : 0.319| asignación          : 0.320| 
destinarán          : 0.318| canalicen           : 0.319| pensión             : 0.319| disponible          : 0.318| 
disponible          : 0.316| indeciso            : 0.316| salvación           : 0.317| agrónomo            : 0.316| 
unilateralmente     : 0.316| disponible          : 0.316| indeciso            : 0.316| autónoma            : 0.316| 
agrónomo            : 0.314| dudar               : 0.314| enriquecimiento     : 0.315| unilateralmente     : 0.316| 
autónoma            : 0.313| agrónomo            : 0.314| autónoma            : 0.314| pensión             : 0.313| 
enriquecimiento     : 0.311| autónoma            : 0.312| disponible          : 0.314| indeciso            : 0.312| 
indeciso            : 0.307| unilateralmente     : 0.309| unilateralmente     : 0.310| enriquecimiento     : 0.311| 
bancada             : 0.307| porcentaje          : 0.305| chauvet             : 0.310| dudar               : 0.310| 
porcentaje          : 0.306| enriquecimiento     : 0.305| bancada             : 0.307| chauvet             : 0.308| 
chauvet             : 0.303| bancada             : 0.303| atribuida           : 0.304| bancada             : 0.307| 
dudar               : 0.301| especialista        : 0.303| distribución        : 0.301| autobús             : 0.306| 
distribución        : 0.298| chauvet             : 0.301| dudar               : 0.301| atribuida           : 0.302| 
autobús             : 0.296| alemán              : 0.301| imparcial           : 0.300| porcentaje          : 0.301| 
atribuida           : 0.294| imparcial           : 0.298| autobús             : 0.299| distribución        : 0.301| 
politécnico         : 0.294| atribuida           : 0.297| politécnico         : 0.298| alemán              : 0.297| 
alemán              : 0.293| autobús             : 0.293| alemán              : 0.297| imparcial           : 0.296| 
